title,year,duration,genre,rating,movie_url,user-Agent
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt,Mozilla
The Godfather ,1972,2h 55min,Crime,9.2,https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt,Mozilla
The Godfather: Part II ,1974,3h 22min,Crime,9,https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt,Mozilla
The Dark Knight ,2008,2h 32min,Action,9,https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt,Mozilla
Schindler's List ,1993,3h 15min,Biography,8.9,https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt,Mozilla
12 Angry Men ,1957,1h 36min,Crime,8.9,https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt,Mozilla
Pulp Fiction ,1994,2h 34min,Crime,8.9,https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt,Mozilla
The Lord of the Rings: The Return of the King ,2003,3h 21min,Action,8.9,https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt,Mozilla
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt,Mozilla
Forrest Gump ,1994,2h 22min,Drama,8.8,https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt,Mozilla
Fight Club ,1999,2h 19min,Drama,8.8,https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt,Mozilla
Goodfellas ,1990,2h 26min,Biography,8.7,https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt,Mozilla
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt,Mozilla
The Lord of the Rings: The Two Towers ,2002,2h 59min,Action,8.7,https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt,Mozilla
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt,Mozilla
Seven Samurai ,1954,3h 27min,Action,8.6,https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt,Mozilla
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt,Mozilla
Harakiri ,1962,2h 13min,Action,8.6,https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt,Mozilla
Life Is Beautiful ,1997,1h 56min,Comedy,8.6,https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt,Mozilla
Se7en ,1995,2h 7min,Crime,8.6,https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt,Mozilla
Saving Private Ryan ,1998,2h 49min,Drama,8.6,https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt,Mozilla
The Green Mile ,1999,3h 9min,Crime,8.6,https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt,Mozilla
City of God ,2002,2h 10min,Crime,8.6,https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt,Mozilla
Interstellar ,2014,2h 49min,Adventure,8.6,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt,Mozilla
Hamilton ,2020,2h 40min,Biography,8.6,https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt,Mozilla
Parasite ,2019,2h 12min,Comedy,8.6,https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt,Mozilla
City Lights ,1931,1h 27min,Comedy,8.5,https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt,Mozilla
Modern Times ,1936,1h 27min,Comedy,8.5,https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt,Mozilla
Cinema Paradiso ,1988,2h 35min,Drama,8.5,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt,Mozilla
Grave of the Fireflies ,1988,1h 29min,Animation,8.5,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt,Mozilla
The Lion King ,1994,1h 28min,Animation,8.5,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt,Mozilla
Léon: The Professional ,1994,1h 50min,Action,8.5,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt,Mozilla
American History X ,1998,1h 59min,Drama,8.5,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt,Mozilla
Gladiator ,2000,2h 35min,Action,8.5,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt,Mozilla
The Pianist ,2002,2h 30min,Biography,8.5,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt,Mozilla
The Departed ,2006,2h 31min,Crime,8.5,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt,Mozilla
The Intouchables ,2011,1h 52min,Biography,8.5,https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt,Mozilla
The Prestige ,2006,2h 10min,Drama,8.5,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt,Mozilla
Casablanca ,1942,1h 42min,Drama,8.5,https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt,Mozilla
Whiplash ,2014,1h 46min,Drama,8.5,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt,Mozilla
Joker ,2019,2h 2min,Crime,8.5,https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt,Mozilla
Taare Zameen Par ,2007,2h 45min,Drama,8.4,https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt,Mozilla
3 Idiots ,2009,2h 50min,Comedy,8.4,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt,Mozilla
The Lives of Others ,2006,2h 17min,Drama,8.4,https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt,Mozilla
Dangal ,2016,2h 41min,Action,8.4,https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt,Mozilla
Django Unchained ,2012,2h 45min,Drama,8.4,https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt,Mozilla
Avengers: Endgame ,2019,3h 1min,Action,8.4,https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,Mozilla
Capernaum ,2018,2h 6min,Drama,8.4,https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt,Mozilla
Your Name. ,2016,1h 46min,Animation,8.4,https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt,Mozilla
Oldboy ,2003,1h 41min,Action,8.4,https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt,Mozilla
Sunset Blvd. ,1950,1h 50min,Drama,8.4,https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt,Mozilla
The Great Dictator ,1940,2h 5min,Comedy,8.4,https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt,Mozilla
Witness for the Prosecution ,1957,1h 56min,Crime,8.4,https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt,Mozilla
High and Low ,1963,2h 23min,Crime,8.4,https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt,Mozilla
Apocalypse Now ,1979,2h 27min,Drama,8.4,https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt,Mozilla
The Shining ,1980,2h 26min,Drama,8.4,https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt,Mozilla
Once Upon a Time in America ,1984,3h 49min,Crime,8.4,https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt,Mozilla
Paths of Glory ,1957,1h 28min,Drama,8.4,https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt,Mozilla
Anand ,1971,2h 2min,Drama,8.4,https://www.imdb.com/title/tt0066763/?ref_=adv_li_tt,Mozilla
The Kid ,1921,1h 8min,Comedy,8.3,https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt,Mozilla
Metropolis ,1927,2h 33min,Drama,8.3,https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt,Mozilla
Citizen Kane ,1941,1h 59min,Drama,8.3,https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt,Mozilla
Double Indemnity ,1944,1h 47min,Crime,8.3,https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt,Mozilla
Bicycle Thieves ,1948,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt,Mozilla
Ikiru ,1952,2h 23min,Drama,8.3,https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt,Mozilla
The Apartment ,1960,2h 5min,Comedy,8.3,https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt,Mozilla
Lawrence of Arabia ,1962,3h 48min,Adventure,8.3,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt,Mozilla
The Sting ,1973,2h 9min,Comedy,8.3,https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt,Mozilla
A Clockwork Orange ,1971,2h 16min,Crime,8.3,https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt,Mozilla
Taxi Driver ,1976,1h 54min,Crime,8.3,https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt,Mozilla
Das Boot ,1981,2h 29min,Adventure,8.3,https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt,Mozilla
Scarface ,1983,2h 50min,Crime,8.3,https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt,Mozilla
Come and See ,1985,2h 22min,Drama,8.3,https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt,Mozilla
Amadeus ,1984,2h 40min,Biography,8.3,https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt,Mozilla
Full Metal Jacket ,1987,1h 56min,Drama,8.3,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt,Mozilla
Children of Heaven ,1997,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt,Mozilla
Braveheart ,1995,2h 58min,Biography,8.3,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt,Mozilla
Good Will Hunting ,1997,2h 6min,Drama,8.3,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt,Mozilla
American Beauty ,1999,2h 2min,Drama,8.3,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt,Mozilla
Requiem for a Dream ,2000,1h 42min,Drama,8.3,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt,Mozilla
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,8.3,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt,Mozilla
My Father and My Son ,2005,1h 52min,Drama,8.3,https://www.imdb.com/title/tt0476735/?ref_=adv_li_tt,Mozilla
Incendies ,2010,2h 11min,Drama,8.3,https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt,Mozilla
A Separation ,2011,2h 3min,Drama,8.3,https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt,Mozilla
The Hunt ,2012,1h 55min,Drama,8.3,https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt,Mozilla
Andhadhun ,2018,2h 19min,Crime,8.3,https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt,Mozilla
Reservoir Dogs ,1992,1h 39min,Crime,8.3,https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt,Mozilla
1917 ,2019,1h 59min,Drama,8.3,https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,Mozilla
Inglourious Basterds ,2009,2h 33min,Adventure,8.3,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt,Mozilla
V for Vendetta ,2005,2h 12min,Action,8.2,https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt,Mozilla
Rang De Basanti ,2006,2h 47min,Comedy,8.2,https://www.imdb.com/title/tt0405508/?ref_=adv_li_tt,Mozilla
Pan's Labyrinth ,2006,1h 58min,Drama,8.2,https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt,Mozilla
There Will Be Blood ,2007,2h 38min,Drama,8.2,https://www.imdb.com/title/tt0469494/?ref_=adv_li_tt,Mozilla
